,Brand,Year,Model,Title,Transmission
2954,Mazda,2015,CX-5,2015 Mazda CX-5 Grand Tourer (4X4),Automatic
2955,Toyota,2016,Landcruiser,2016 Toyota Landcruiser Sahara (4X4),Automatic
2956,Hyundai,2021,Tucson,2021 Hyundai Tucson Highlander (awd),Automatic
2957,Tesla,2020,Model,2020 Tesla Model X Performance,Automatic
2958,Ford,2011,Territory,2011 Ford Territory Titanium (rwd),Automatic
2959,Kia,2017,Sorento,2017 Kia Sorento SI (4X4),Automatic
2960,Chevrolet,2022,Silverado,2022 Chevrolet Silverado 1500 LTZ Premium Tech Pack,Automatic
2962,Mazda,2023,3,2023 Mazda 3 G25 GT,Automatic
2963,Ford,2020,Ranger,2020 Ford Ranger FX4 2.0 (4X4) Special Edition,Automatic
2965,Mercedes-Benz,2016,CLA45,2016 Mercedes-Benz CLA45 AMG 4Matic Shooting Brake,Automatic
2966,Hyundai,2015,IX35,2015 Hyundai IX35 SE (fwd),Automatic
2968,GWM,2023,Haval,2023 GWM Haval Jolion Ultra Hybrid,Automatic
2970,MG,2023,ZS,2023 MG ZS EV Essence,Automatic
2972,Mazda,2016,CX-5,2016 Mazda CX-5 Maxx (4X2),Automatic
2973,BMW,2023,5,2023 BMW 5 M550I Xdrive LCI,Automatic
2974,Lexus,2020,RX450H,2020 Lexus RX450H Sports Luxury Hybrid,Automatic
2975,Jeep,2010,Grand,2010 Jeep Grand Cherokee Laredo (4X4),Automatic
2976,Mazda,2015,6,2015 Mazda 6 GT,Automatic
2977,Hyundai,2011,I30,2011 Hyundai I30 SLX,Automatic
2979,Kia,2019,Sportage,2019 Kia Sportage SI (fwd),Automatic
2980,Volkswagen,2013,Tiguan,2013 Volkswagen Tiguan 103 TDI Pacific,Automatic
2982,Nissan,2014,Serena,2014 Nissan Serena Highway Star,Automatic
2983,Jeep,2022,Grand,2022 Jeep Grand Cherokee Night Eagle 5 Seat (4X4),Automatic
2985,Honda,2012,Jazz,2012 Honda Jazz GLI,Automatic
2986,Holden,2017,Captiva,2017 Holden Captiva Active 5 Seater,Automatic
2987,Hyundai,2014,I30,2014 Hyundai I30 SE,Automatic
2988,Toyota,2016,Hilux,2016 Toyota Hilux SR5 (4X4),Automatic
2990,Lexus,2011,RX450H,2011 Lexus RX450H Sports Luxury,Automatic
2991,Holden,2013,UTE,2013 Holden UTE SS-V Redline,Automatic
2992,Mitsubishi,2014,Lancer,2014 Mitsubishi Lancer Ralliart,Automatic
2994,Nissan,2018,Caravan,2018 Nissan Caravan 10 SEATER,Automatic
2995,Isuzu,2013,D-MAX,2013 Isuzu D-MAX LS HI-Ride (4X2),Automatic
2996,Hyundai,2018,Elantra,2018 Hyundai Elantra Active,Automatic
3000,BMW,2021,IX,2021 BMW IX xDrive50 AWD Sport,-
3001,Audi,2017,A5,2017 Audi A5 2.0 Tfsi Quattro S Tronic Sprt,Automatic
3003,MG,2022,HS,2022 MG HS +EV Phev Excite,Automatic
3005,Isuzu,2009,D-MAX,2009 Isuzu D-MAX LS-M (4X4),Manual
3006,Suzuki,2008,Grand,2008 Suzuki Grand Vitara Prestige (4X4),Automatic
3007,Jeep,2018,Grand,2018 Jeep Grand Cherokee Overland (4X4),Automatic
3008,Holden,2013,Colorado,2013 Holden Colorado 7 LTZ (4X4),Automatic
3009,Genesis,2022,GV70,2022 Genesis GV70 2.5T AWD,Automatic
3011,GWM,2023,Haval,2023 GWM Haval Jolion Ultra,Automatic
3012,Mitsubishi,2020,Triton,2020 Mitsubishi Triton GLX-R (4X4),Automatic
3015,Holden,2019,Acadia,2019 Holden Acadia LTZ-V (awd),Automatic
3016,Toyota,2015,Landcruiser,2015 Toyota Landcruiser Prado GXL (4X4),Automatic
3017,Holden,2014,Captiva,2014 Holden Captiva 7 LS (fwd),Automatic
3018,Kia,2018,RIO,2018 Kia RIO S,Automatic
3021,Toyota,2022,RAV4,2022 Toyota RAV4 GX (2WD) Hybrid,Automatic
3022,Ford,2010,Ranger,2010 Ford Ranger XLT (4X4),Automatic
3023,Nissan,2022,Qashqai,2022 Nissan Qashqai ST-L 2-Tone,Automatic
3024,Renault,2015,Clio,2015 Renault Clio Expression,Automatic
3025,Maserati,2019,Levante,2019 Maserati Levante Gransport,Automatic
3027,Audi,2000,TT,2000 Audi TT Quattro,Manual
3028,Mercedes-Benz,2021,GLC43,2021 Mercedes-Benz GLC43 4Matic,Automatic
3029,Land,2016,Rover,2016 Land Rover Range Rover Sport 3.0 SDV6 HSE,Automatic
3030,Mitsubishi,2020,Triton,2020 Mitsubishi Triton GSR (4X4),Automatic
3031,Isuzu,2018,D-MAX,2018 Isuzu D-MAX LS-U HI-Ride (4X4),Automatic
3032,Ford,2013,Kuga,2013 Ford Kuga Titanium (awd),Automatic
3033,Toyota,2013,Estima,2013 Toyota Estima Aeras Hybrid,Automatic
3035,Suzuki,2021,Carry,2021 Suzuki Carry,Manual
3036,Lamborghini,2019,Urus,2019 Lamborghini Urus 4 Seat,Automatic
3038,Audi,2020,Q3,2020 Audi Q3 35 Tfsi S Line,Automatic
3040,GWM,2022,Haval,2022 GWM Haval H6 Ultra AWD,Automatic
3042,Mazda,2014,CX-5,2014 Mazda CX-5 Maxx (4X4),Automatic
3046,Toyota,2011,FJ,2011 Toyota FJ Cruiser,Automatic
3047,Suzuki,2009,SX4,2009 Suzuki SX4 AWD,Automatic
3049,Mercedes-Benz,2018,GLA180,2018 Mercedes-Benz GLA180,Automatic
3050,LDV,2021,T60,2021 LDV T60 MAX PRO (4X4),Automatic
3051,GWM,2023,UTE,2023 GWM UTE Cannon-L (4X4),Automatic
3053,Toyota,2009,Landcruiser,2009 Toyota Landcruiser Prado Kakadu (4X4),Automatic
3054,Jeep,2014,Wrangler,2014 Jeep Wrangler Unlimited Sport (4X4),Manual
3055,Mercedes-Benz,2013,E250,2013 Mercedes-Benz E250,Automatic
3056,Lexus,2013,RX,2013 Lexus RX RX450h Sports Luxury,Automatic
3058,Toyota,2003,RAV4,2003 Toyota RAV4 Edge (4X4),Manual
3060,Hyundai,2020,I30,2020 Hyundai I30 N Line Premium,Automatic
3061,BMW,2020,X7,2020 BMW X7 Xdrive30D,Automatic
3063,Mercedes-Benz,2018,S450,2018 Mercedes-Benz S450 L,Automatic
3065,Mercedes-Benz,2013,ML250,2013 Mercedes-Benz ML250 CDI Bluetec (4X4),Automatic
3066,Toyota,2018,Landcruiser,2018 Toyota Landcruiser Prado GXL (4X4),Automatic
3067,Mazda,2007,CX-9,2007 Mazda CX-9 Luxury,Automatic
3068,Volvo,2014,V40,2014 Volvo V40 T5 Cross Country,Automatic
3070,Land,2017,Rover,2017 Land Rover Range Rover Sport 3.0 TDV6 SE,Automatic
3073,Maserati,2016,Quattroporte,2016 Maserati Quattroporte S,Automatic
3074,Hyundai,2021,I30,2021 Hyundai I30 N Limited Edition,Manual
3075,Toyota,2020,Corolla,2020 Toyota Corolla SX,Automatic
3078,Ford,2010,Falcon,2010 Ford Falcon XR6T 50TH Anniversary,Manual
3080,Lexus,2022,NX350H,2022 Lexus NX350H Sports Luxury + EP1 Hybrid AWD,Automatic
3083,Ford,2004,Escape,2004 Ford Escape XLS,Automatic
3084,Hyundai,2019,Tucson,2019 Hyundai Tucson Active X (2WD) Black INT,Automatic
3086,Mitsubishi,2003,Pajero,2003 Mitsubishi Pajero Exceed LWB (4X4),Automatic
3087,Toyota,2015,Hilux,2015 Toyota Hilux SR (4X4),Automatic
3088,Mitsubishi,2011,Lancer,2011 Mitsubishi Lancer Ralliart,Automatic
3090,Kia,2013,Cerato,2013 Kia Cerato S,Manual
3091,Mazda,2022,CX-3,2022 Mazda CX-3 Akari (fwd),Automatic
3094,Maserati,2018,Ghibli,2018 Maserati Ghibli Gransport,Automatic
3095,Holden,2017,Commodore,2017 Holden Commodore SS-V Redline,Manual
3099,Honda,2017,Civic,2017 Honda Civic VTI-LX,Automatic
3100,Volkswagen,2022,Golf,2022 Volkswagen Golf R 4Motion,Automatic
3102,Mazda,2017,CX-5,2017 Mazda CX-5 Maxx Sport (4X2),Automatic
3103,Lexus,2013,RX450H,2013 Lexus RX450H F-Sport,Automatic
3107,Mercedes-Benz,2007,Viano,2007 Mercedes-Benz Viano CDI 2.2 Ambiente,Automatic
3109,Mazda,2010,3,2010 Mazda 3,Automatic
3110,Holden,2010,Captiva,2010 Holden Captiva LX (4X4),Automatic
3113,LDV,2021,Deliver,2021 LDV Deliver 9 High Roof LWB,Automatic
3114,Holden,2014,Colorado,2014 Holden Colorado LX,Automatic
3115,Nissan,2013,Cube,2013 Nissan Cube 15X,Automatic
3118,Ford,2017,Escape,2017 Ford Escape Titanium (awd),Automatic
3119,Land,2011,Rover,2011 Land Rover Discovery 4 3.0 SDV6 SE,Automatic
3122,Honda,2019,HR-V,2019 Honda HR-V RS,Automatic
3123,Mitsubishi,2015,Triton,2015 Mitsubishi Triton Exceed (4X4),Automatic
3125,Volkswagen,2014,Transporter,2014 Volkswagen Transporter TDI 340 Crewvan LWB,Automatic
3126,Toyota,1998,Landcruiser,1998 Toyota Landcruiser GXL (4X4),Manual
3128,Renault,2021,Koleos,2021 Renault Koleos Intens (4X4),Automatic
3131,Volkswagen,2019,Passat,2019 Volkswagen Passat 132 TSI Comfortline,Automatic
3133,Hyundai,2015,I30,2015 Hyundai I30 Active X,Automatic
3135,Jeep,2006,Cherokee,2006 Jeep Cherokee Sport (4X4),Automatic
3138,Mercedes-Benz,2013,A45,2013 Mercedes-Benz A45 AMG,Automatic
3139,Hyundai,2016,Iload,2016 Hyundai Iload,Automatic
3140,Mercedes-Benz,2018,G-Class,2018 Mercedes-Benz G-Class G63 AMG SPEEDSHIFT 4MATIC,Automatic
3142,Ford,2014,Focus,2014 Ford Focus Titanium,Automatic
3144,Mazda,2000,323,2000 Mazda 323 Astina Shades,Automatic
3146,Audi,2013,TT,2013 Audi TT 2.0 Tfsi Quattro,Automatic
3147,BMW,2017,218D,2017 BMW 218D Active Tourer Sport Line,Automatic
3149,Mazda,2018,CX-9,2018 Mazda CX-9 GT (fwd),Automatic
3152,Mazda,2021,CX-3,2021 Mazda CX-3 NEO Sport (fwd),Manual
3153,Citroen,2011,DS3,2011 Citroen DS3 DSport,Manual
3154,Tesla,2020,Model,2020 Tesla Model 3 Long Range AWD,Automatic
3156,BMW,2015,X3,2015 BMW X3 Xdrive 20D,Automatic
3157,MG,2019,ZS,2019 MG ZS Essence,Automatic
3158,BMW,2011,135I,2011 BMW 135I Sport,Automatic
3161,Toyota,2007,Landcruiser,2007 Toyota Landcruiser Prado GXL (4X4),Automatic
3162,Land,2022,Rover,2022 Land Rover Range Rover D350 HSE SWB (258KW),Automatic
3163,Toyota,2015,Noah,2015 Toyota Noah Hybrid,Automatic
3164,Mazda,2020,CX-5,2020 Mazda CX-5 Touring (4X4),Automatic
3166,Toyota,2002,Estima,2002 Toyota Estima,Automatic
3168,Toyota,2023,Rav,2023 Toyota Rav 4,-
3170,Ford,1997,Falcon,1997 Ford Falcon GLI,Automatic
3171,Mitsubishi,2019,Pajero,2019 Mitsubishi Pajero Sport GLS (4X4) 7 Seat,Automatic
3173,Holden,2014,Colorado,2014 Holden Colorado LS (4X2),Automatic
3175,Mitsubishi,2019,Triton,2019 Mitsubishi Triton GLX Adas,Automatic
3179,Audi,2013,Q3,2013 Audi Q3 2.0 Tfsi Quattro (125KW),Automatic
3180,FPV,2010,F6,2010 FPV F6,Automatic
3182,Renault,2022,Koleos,2022 Renault Koleos Intens (4X2),Automatic
3183,Lexus,2010,IS250,2010 Lexus IS250 Sports Luxury,Automatic
3184,Hyundai,2010,Imax,2010 Hyundai Imax,Automatic
3187,Jaguar,1986,Xjsc,1986 Jaguar Xjsc V12,Automatic
3188,Mazda,2023,CX-9,2023 Mazda CX-9 Azami (awd),Automatic
3190,Mitsubishi,2011,Challenger,2011 Mitsubishi Challenger XLS (5 Seat) (4X4),Automatic
3192,Honda,2016,Jazz,2016 Honda Jazz VTI-S,Automatic
3194,Lexus,2013,RX450H,2013 Lexus RX450H Luxury,Automatic
3195,Toyota,2018,Corolla,2018 Toyota Corolla ZR (hybrid),Automatic
3197,Ford,2002,Falcon,2002 Ford Falcon XLS,Automatic
3198,Hyundai,2019,Imax,2019 Hyundai Imax Active,Automatic
3199,BMW,2012,118I,2012 BMW 118I Urban,Automatic
3201,Holden,2014,Colorado,2014 Holden Colorado 7 LTZ (4X4),Automatic
3203,Volvo,2015,XC90,2015 Volvo XC90 D5 2.0 Inscription,Automatic
3204,Honda,2014,CR-V,2014 Honda CR-V DTI-S (4X4),Automatic
3205,Toyota,2021,RAV4,2021 Toyota RAV4 Cruiser (awd) Hybrid,Automatic
3206,Ford,2019,Endura,2019 Ford Endura ST-Line (fwd),Automatic
3208,Ford,2018,Mondeo,2018 Ford Mondeo Ambiente,Automatic
3209,Toyota,2006,Corolla,2006 Toyota Corolla Ascent,Automatic
3212,Volkswagen,2022,Passat,2022 Volkswagen Passat 162TSI Elegance,Automatic
3214,Subaru,2012,Impreza,2012 Subaru Impreza 2.0I-L (awd),Automatic
3215,Nissan,2009,Pathfinder,2009 Nissan Pathfinder ST-L (4X4),Automatic
3217,BMW,2013,328I,2013 BMW 328I Modern Line,Automatic
3219,Toyota,2017,Kluger,2017 Toyota Kluger Grande (4X4),Automatic
3220,Nissan,2019,Leaf,2019 Nissan Leaf Lwaf E+X Hatchback 5dr CVT 1sp 62KW,Automatic
3221,Mazda,2013,2,2013 Mazda 2 NEO,Automatic
3223,Skoda,2014,Fabia,2014 Skoda Fabia 77 TSI Monte Carlo,Automatic
3228,Mercedes-Benz,2021,A180,2021 Mercedes-Benz A180,Automatic
3229,Audi,2019,Q7,2019 Audi Q7 45 TDI Quattro,Automatic
3232,Ford,2015,Ranger,2015 Ford Ranger XL 2.2 HI-Rider (4X2),Automatic
3233,Mercedes-Benz,2004,CLK320,2004 Mercedes-Benz CLK320 Avantgarde,Automatic
3236,Volkswagen,2016,Scirocco,2016 Volkswagen Scirocco R Wolfsburg Edition,Manual
3237,Mercedes-Benz,2020,S450,2020 Mercedes-Benz S450 4Matic (hybrid),Automatic
3238,Toyota,2012,Landcruiser,2012 Toyota Landcruiser Workmate (4X4),Manual
3240,Skoda,2022,Kamiq,2022 Skoda Kamiq Style 85TSI,Automatic
3241,Nissan,2003,Pulsar,2003 Nissan Pulsar ST,Manual
3244,BMW,2014,435I,2014 BMW 435I,Automatic
3246,BMW,2017,X1,2017 BMW X1 Xdrive 25I,Automatic
3249,Ford,2022,Puma,2022 Ford Puma,Automatic
3250,Mitsubishi,2018,Triton,2018 Mitsubishi Triton Exceed (4X4),Automatic
3252,Porsche,2019,Cayenne,2019 Porsche Cayenne S,Automatic
3256,Holden,2005,Rodeo,2005 Holden Rodeo LT (4X4),Automatic
3257,BMW,2015,M3,2015 BMW M3,Automatic
3258,Volkswagen,2020,Golf,2020 Volkswagen Golf 110 TSI Comfortline,Automatic
3260,Honda,2021,Civic,2021 Honda Civic VTI-LX,Automatic
3261,Toyota,2018,Yaris,2018 Toyota Yaris Ascent,Automatic
3262,Jeep,2018,Compass,2018 Jeep Compass Longitude (fwd),Automatic
3263,Subaru,2016,Forester,2016 Subaru Forester 2.0XT Premium,Automatic
3264,Nissan,2012,Patrol,2012 Nissan Patrol ST (4X4),Automatic
3265,Ram,2020,1500,2020 Ram 1500 Express (4X4),Automatic
3267,Nissan,2005,Pulsar,2005 Nissan Pulsar ST,Automatic
3269,Mercedes-Benz,2017,B200,2017 Mercedes-Benz B200,Automatic
3274,Kia,2018,Stinger,2018 Kia Stinger GT (blk LTH W Michelin Tyr),Automatic
3275,Holden,2002,Monaro,2002 Holden Monaro CV8,Automatic
3276,Mini,2017,Cooper,2017 Mini Cooper S,Automatic
3279,Ford,2015,Territory,2015 Ford Territory TX (rwd),Automatic
3280,Nissan,2014,X-Trail,2014 Nissan X-Trail TS (fwd),Automatic
3281,Toyota,2021,Kluger,2021 Toyota Kluger GX Hybrid AWD,Automatic
3282,BMW,2019,X7,2019 BMW X7 Xdrive 30D,Automatic
3283,Kia,2021,Sorento,2021 Kia Sorento Sport+ 7 Seat,Automatic
3285,Toyota,2019,RAV4,2019 Toyota RAV4 GX AWD Hybrid,Automatic
3286,Nissan,2011,Elgrand,2011 Nissan Elgrand Highway Star,Automatic
3287,MG,2022,HS,2022 MG HS Phev Essence,Automatic
3288,Nissan,2016,Navara,2016 Nissan Navara ST-X (4X2) (sunroof),Manual
3289,Jeep,2020,Grand,2020 Jeep Grand Cherokee Trackhawk (4X4),Automatic
3290,Nissan,2016,Navara,2016 Nissan Navara RX (4X2),Manual
3291,Mitsubishi,2017,Pajero,2017 Mitsubishi Pajero Sport GLX (4X4) 5 Seat,Automatic
3293,Isuzu,2023,MU-X,2023 Isuzu MU-X LS-T (4X4),Automatic
3294,Hyundai,2019,Elantra,2019 Hyundai Elantra Active,Automatic
3296,Holden,2013,UTE,2013 Holden UTE SS-V,Automatic
3297,GWM,2023,UTE,2023 GWM UTE Cannon (4X4),Automatic
3302,Renault,2014,Clio,2014 Renault Clio RS 200 Sport,Automatic
3303,Mercedes-Benz,2018,A250,2018 Mercedes-Benz A250 Whiteart Edition,Automatic
3304,Volkswagen,2023,Tiguan,2023 Volkswagen Tiguan 162TSI Elegance DSG 4MOTION,Automatic
3305,Honda,2006,Civic,2006 Honda Civic VTI-L,Automatic
3306,Ford,2010,Falcon,2010 Ford Falcon G6E,Automatic
3307,Mazda,2016,CX-3,2016 Mazda CX-3 Akari (fwd),Automatic
3312,Audi,2020,Q7,2020 Audi Q7 45 TDI Quattro,Automatic
3314,Mercedes-Benz,2018,C63,2018 Mercedes-Benz C63 S,Automatic
3315,Nissan,2018,X-Trail,2018 Nissan X-Trail TS (4WD),Automatic
3316,Subaru,2022,Forester,2022 Subaru Forester 2.5I-S (awd),Automatic
3317,Audi,2004,A3,2004 Audi A3 1.6 Attraction,Manual
3318,Mazda,2016,3,2016 Mazda 3 Maxx,Automatic
3319,Toyota,2018,Camry,2018 Toyota Camry Ascent Sport (hybrid),Automatic
3320,Audi,2020,Q3,2020 Audi Q3 35 Tfsi,Automatic
3322,Lexus,2018,RX300,2018 Lexus RX300 Luxury,Automatic
3327,Toyota,2006,HiAce,2006 Toyota HiAce (No Badge),Automatic
3331,Mazda,2023,CX-5,2023 Mazda CX-5 Maxx Sport (fwd),Automatic
3332,Kia,2014,Sportage,2014 Kia Sportage SI Premium (fwd),Automatic
3333,Ford,2010,Mondeo,2010 Ford Mondeo LX Tdci,Automatic
3337,Mazda,2021,MX-30,2021 Mazda MX-30 G20E Evolve Mhev,Automatic
3340,Mercedes-Benz,2014,A45,2014 Mercedes-Benz A45 AMG,Automatic
3341,BMW,2018,X5,2018 BMW X5 Xdrive 30D,Automatic
3342,Mazda,2016,BT-50,2016 Mazda BT-50 XTR 4x2 Hi-Rider,Automatic
3344,Volkswagen,2019,Caddy,2019 Volkswagen Caddy TSI220,Automatic
3349,Nissan,2013,Micra,2013 Nissan Micra ST,Manual
3350,Mercedes-Benz,2015,GLE350,2015 Mercedes-Benz GLE350 D,Automatic
3351,MG,2022,HS,2022 MG HS Vibe,Automatic
3352,Honda,2010,Civic,2010 Honda Civic VTI,Automatic
3353,Nissan,2012,Leaf,2012 Nissan Leaf,Automatic
3355,BMW,2014,X5,2014 BMW X5 Sdrive 25D,Automatic
3357,McLaren,2019,720S,2019 McLaren 720S Spider Luxury,Automatic
3358,Kia,2011,RIO,2011 Kia RIO SLI,Automatic
3359,Bentley,2015,Continental,2015 Bentley Continental GTC V8 S MY16,Automatic
3361,Mercedes-Benz,2013,C63,2013 Mercedes-Benz C63 AMG Edition 507,Automatic
3362,Nissan,2017,X-Trail,2017 Nissan X-Trail TI (4X4),Automatic
3363,Kia,2018,Sportage,2018 Kia Sportage SI Premium (awd),Automatic
3364,BMW,2019,X7,2019 BMW X7 M50d 7seat,Automatic
3365,Mercedes-Benz,2012,C250,2012 Mercedes-Benz C250 CDI BE,Automatic
3366,Mercedes-Benz,2015,S-Class,2015 Mercedes-Benz S-Class,-
3367,Jaguar,2016,F-Pace,2016 Jaguar F-Pace 20D Prestige,Automatic
3368,Subaru,2013,Liberty,2013 Subaru Liberty 2.5I GT Premium,Manual
3369,Holden,2006,Crewman,2006 Holden Crewman S,Manual
3371,Mercedes-Benz,2012,GL500,2012 Mercedes-Benz GL500 Luxury,Automatic
3372,Subaru,2019,XV,2019 Subaru XV 2.0I Premium,Automatic
3373,Kia,2020,Sportage,2020 Kia Sportage GT-Line (awd),Automatic
3374,Toyota,2017,Landcruiser,2017 Toyota Landcruiser LC200 Altitude Special Edition,Automatic
3376,Audi,2015,Q5,2015 Audi Q5 2.0 Tfsi Quattro,Automatic
3377,Suzuki,2009,Grand,2009 Suzuki Grand Vitara (4X4),Automatic
3378,Volvo,2022,XC40,2022 Volvo XC40 Recharge Twin Pure Electric,Automatic
3379,Kia,2022,Seltos,2022 Kia Seltos GT-Line (awd) (sunroof),Automatic
3382,Subaru,2017,WRX,2017 Subaru WRX Premium (awd),Automatic
3384,HSV,2012,Clubsport,2012 HSV Clubsport R8,Automatic
3385,Mitsubishi,2017,Lancer,2017 Mitsubishi Lancer GSR,Manual
3386,Mitsubishi,2017,Lancer,2017 Mitsubishi Lancer Black Edition (es),Automatic
3389,Ford,2018,Ranger,2018 Ford Ranger XLT 2.0 (4X4),Automatic
3390,Subaru,2018,Liberty,2018 Subaru Liberty 2.5I,Automatic
3391,BMW,2016,X3,2016 BMW X3 Xdrive 20D,Automatic
3392,Land,2016,Rover,2016 Land Rover Range Rover Sport 3.0 TDV6 S,Automatic
3393,Toyota,2012,Crown,2012 Toyota Crown Athlete,Automatic
3394,Toyota,2023,Yaris,2023 Toyota Yaris Cross GX,Automatic
3395,Ford,2013,Kuga,2013 Ford Kuga Trend AWD,Automatic
3397,Jaguar,2017,E-Pace,2017 Jaguar E-Pace D180 R-Dynamic AWD (132KW),Automatic
3398,Hyundai,2011,I30,2011 Hyundai I30 SX,Manual
3399,Jeep,2007,Wrangler,2007 Jeep Wrangler Sport (4X4),Automatic
3401,Holden,2012,Commodore,2012 Holden Commodore SS-V Z-Series,Automatic
3404,BMW,2017,X3,2017 BMW X3 Xdrive 20I,Automatic
3405,Toyota,2020,Hilux,2020 Toyota Hilux Rogue (4X4),Automatic
3406,Volkswagen,2021,Golf,2021 Volkswagen Golf 110TSI Life,Automatic
3407,Holden,2018,Trailblazer,2018 Holden Trailblazer LT (4X4),Automatic
3408,Nissan,2019,X-Trail,2019 Nissan X-Trail TI (4WD),Automatic
3409,Mercedes-Benz,2018,AMG,2018 Mercedes-Benz AMG GT C,Automatic
3410,Mazda,2023,CX-9,2023 Mazda CX-9 Azami (fwd),Automatic
3412,Renault,2019,Koleos,2019 Renault Koleos ZEN X-Tronic (4X2),Automatic
3413,Lexus,2017,ES300H,2017 Lexus ES300H Sports Luxury Hybrid,Automatic
3415,Cupra,2022,Ateca,2022 Cupra Ateca VZX,Automatic
3416,Audi,2022,A1,2022 Audi A1 35 Tfsi,Automatic
3417,Mercedes-Benz,2015,S350,2015 Mercedes-Benz S350 CDI Bluetech,Automatic
3419,Land,2017,Rover,2017 Land Rover Range Rover Vogue SE SDV8,Automatic
3421,Toyota,2014,Corolla,2014 Toyota Corolla Ascent,Automatic
3422,Land,2017,Rover,2017 Land Rover Range Rover Velar D300 R-Dynamic SE,Automatic
3423,BMW,2009,320D,2009 BMW 320D Executive Touring,Automatic
3424,Mazda,2020,CX-8,2020 Mazda CX-8 Touring (fwd),Automatic
3427,BMW,2020,X2,2020 BMW X2 Sdrive20I M Sport,Automatic
3429,Mercedes-Benz,2018,A200,2018 Mercedes-Benz A200,Automatic
3430,Nissan,2018,Navara,2018 Nissan Navara ST (4X2),Automatic
3431,Nissan,2016,Qashqai,2016 Nissan Qashqai TI (4X2),Automatic
3432,Porsche,2016,Macan,2016 Porsche Macan GTS,Automatic
3433,Hyundai,2011,IX35,2011 Hyundai IX35 Active (fwd),Automatic
3434,Land,2016,Rover,2016 Land Rover Discovery Sport TD4 150 SE 5 Seat,Automatic
3437,Mazda,2018,BT-50,2018 Mazda BT-50 XT (4X2) (5YR),Manual
3438,Ford,2019,Transit,2019 Ford Transit Custom 320L (lwb) Sport Dciv,Automatic
3439,Kia,2021,Sportage,2021 Kia Sportage GT-Line (awd),Automatic
3440,Jeep,2018,Grand,2018 Jeep Grand Cherokee Trackhawk (4X4),Automatic
3441,Honda,2017,HR-V,2017 Honda HR-V VTI-S,Automatic
3442,Nissan,2006,Navara,2006 Nissan Navara DX (4X4),Manual
3444,BMW,2022,X3,2022 BMW X3 xDrive30i Steptronic M Sport,Automatic
3445,Audi,2019,RS5,2019 Audi RS5 2.9 Tfsi Tiptronic,Automatic
3446,MG,2021,MG3,2021 MG MG3 Auto Excite (with Navigation),Automatic
3448,Hyundai,2021,I30,2021 Hyundai I30 N,Manual
3449,Ford,2022,Escape,2022 Ford Escape (FWD),Automatic
3450,Subaru,2023,Crosstrek,2023 Subaru Crosstrek,-
3451,Hyundai,2020,Santa,2020 Hyundai Santa FE Active Crdi (awd),Automatic
3452,Mazda,2022,CX-30,2022 Mazda CX-30 G20 Pure,Automatic
3454,Toyota,2012,Landcruiser,2012 Toyota Landcruiser GXL (4X4),Manual
3455,Hyundai,2015,I30,2015 Hyundai I30 Elite 1.6 Crdi,Automatic
3457,Volkswagen,2020,Crafter,2020 Volkswagen Crafter 35 High Roof LWB FWD TDI410,Automatic
3458,Land,2001,Rover,2001 Land Rover Discovery V8 (4X4),Automatic
3459,Toyota,2019,Camry,2019 Toyota Camry Ascent Sport (hybrid),Automatic
3460,Audi,2022,Q3,2022 Audi Q3 35 Tfsi S Line,Automatic
3461,Mercedes-Benz,2015,CLA250,2015 Mercedes-Benz CLA250 Sport 4Matic S/Brake,Automatic
3462,Mercedes-Benz,2018,GLC63,2018 Mercedes-Benz GLC63 S,Automatic
3463,Mazda,2012,BT-50,2012 Mazda BT-50 XT (4X2),Automatic
3465,Volkswagen,2015,Tiguan,2015 Volkswagen Tiguan 155 TSI R-Line (4X4),Automatic
3466,Mercedes-Benz,2017,E200,2017 Mercedes-Benz E200,Automatic
3468,Mercedes-Benz,2014,E400,2014 Mercedes-Benz E400,Automatic
3469,Mitsubishi,2017,Outlander,2017 Mitsubishi Outlander LS 7 Seat (awd),Automatic
3471,Volvo,2023,Xc,2023 Volvo Xc 60 Ultimate B5 AWD Bright,Automatic
3473,Mazda,2018,CX-3,2018 Mazda CX-3 S Touring (fwd) (5YR),Manual
3475,Mazda,2017,6,2017 Mazda 6 Sport,Automatic
3476,Mitsubishi,2018,Outlander,2018 Mitsubishi Outlander LS 7 Seat (awd),Automatic
3477,Honda,2023,Civic,2023 Honda Civic Type R,Manual
3478,BMW,2022,X5,2022 BMW X5 Xdrive40I M Sport,Automatic
3480,Land,2014,Rover,2014 Land Rover Range Rover Evoque Pure Tech,Automatic
3482,Toyota,2021,Kluger,2021 Toyota Kluger Grande Hybrid AWD,Automatic
3483,Ford,2022,Mustang,2022 Ford Mustang GT 5.0 V8,Manual
3485,Ford,1996,Fairmont,1996 Ford Fairmont Ghia,Automatic
3487,Jeep,2022,Grand,2022 Jeep Grand Cherokee Summit Reserve (4X4),Automatic
3488,Subaru,2021,XV,2021 Subaru XV 2.0I-S AWD,Automatic
3489,Mitsubishi,2016,ASX,2016 Mitsubishi ASX XLS (2WD),Automatic
3490,Tesla,2021,Model,2021 Tesla Model 3 Long Range AWD,Automatic
3491,Mercedes-Benz,2018,A180,2018 Mercedes-Benz A180,Automatic
3492,BMW,2016,430I,2016 BMW 430I Gran Coupe M Sport,Automatic
